Date,Category,Amount,Payment_Method,Description
2025-11-11,Miscellaneous,418.68,UPI,Simulated expense
2025-11-11,Housing,259.63,Debit Card,Simulated expense
2025-11-11,Transportation,328.63,UPI,Simulated expense
2025-11-12,Housing,289.47,Credit Card,Simulated expense
2025-11-12,Transportation,12.05,Bank Transfer,Simulated expense
2025-11-12,Entertainment,443.13,Cash,Simulated expense
2025-11-13,Food & Dining,346.03,Bank Transfer,Simulated expense
2025-11-14,Transportation,217.25,Credit Card,Simulated expense
2025-11-14,Transportation,62.83,Bank Transfer,Simulated expense
2025-11-14,Food & Dining,204.43,Bank Transfer,Simulated expense
2025-11-14,Shopping,372.58,Bank Transfer,Simulated expense
2025-11-15,Transportation,445.71,UPI,Simulated expense
2025-11-15,Shopping,134.16,Bank Transfer,Simulated expense
2025-11-15,Transportation,7.93,Debit Card,Simulated expense
2025-11-15,Housing,466.42,Debit Card,Simulated expense
2025-11-15,Food & Dining,441.56,Bank Transfer,Simulated expense
2025-11-16,Transportation,89.03,Credit Card,Simulated expense
2025-11-16,Housing,23.79,Credit Card,Simulated expense
2025-11-20,Transportation,473.81,Cash,Simulated expense
2025-11-20,Transportation,402.97,Bank Transfer,Simulated expense
2025-11-21,Food & Dining,148.34,Bank Transfer,Simulated expense
2025-11-21,Transportation,209.69,Bank Transfer,Simulated expense
2025-11-22,Transportation,386.71,Debit Card,Simulated expense
2025-11-22,Education,62.3,UPI,Simulated expense
2025-11-22,Housing,183.77,Debit Card,Simulated expense
2025-11-23,Transportation,89.67,Debit Card,Simulated expense
2025-11-25,Utilities,177.34,Cash,Simulated expense
2025-11-27,Entertainment,122.68,Debit Card,Simulated expense
2025-11-28,Food & Dining,376.47,Cash,Simulated expense
2025-11-28,Transportation,19.41,UPI,Simulated expense
2025-11-28,Healthcare,341.24,Credit Card,Simulated expense
2025-11-29,Food & Dining,8.48,Credit Card,Simulated expense
2025-11-29,Transportation,43.6,Debit Card,Simulated expense
2025-11-29,Food & Dining,303.56,Credit Card,Simulated expense
2025-12-01,Food & Dining,61.81,Debit Card,Simulated expense
2025-12-01,Entertainment,165.81,Debit Card,Simulated expense
2025-12-01,Shopping,358.8,Debit Card,Simulated expense
2025-12-01,Shopping,494.13,Credit Card,Simulated expense
2025-12-02,Food & Dining,111.56,UPI,Simulated expense
2025-12-02,Transportation,286.02,Cash,Simulated expense
2025-12-02,Food & Dining,102.38,Bank Transfer,Simulated expense
2025-12-03,Transportation,499.78,Bank Transfer,Simulated expense
2025-12-03,Food & Dining,257.25,Cash,Simulated expense
2025-12-03,Transportation,55.84,Cash,Simulated expense
2025-12-04,Transportation,227.53,Cash,Simulated expense
2025-12-06,Education,162.47,UPI,Simulated expense
2025-12-06,Food & Dining,355.41,Bank Transfer,Simulated expense
2025-12-06,Food & Dining,76.8,Bank Transfer,Simulated expense
2025-12-10,Shopping,126.63,Bank Transfer,Simulated expense
2025-12-11,Housing,494.71,Bank Transfer,Simulated expense
2025-12-12,Entertainment,59.32,Debit Card,Simulated expense
2025-12-12,Shopping,379.18,UPI,Simulated expense
2025-12-13,Shopping,79.35,Bank Transfer,Simulated expense
2025-12-13,Shopping,408.62,Debit Card,Simulated expense
2025-12-13,Housing,321.12,Credit Card,Simulated expense
2025-12-14,Shopping,256.65,Debit Card,Simulated expense
2025-12-14,Entertainment,61.22,Cash,Simulated expense
2025-12-15,Entertainment,454.78,UPI,Simulated expense
2025-12-15,Food & Dining,448.15,Cash,Simulated expense
2025-12-15,Food & Dining,298.43,Credit Card,Simulated expense
2025-12-17,Shopping,142.07,UPI,Simulated expense
2025-12-18,Food & Dining,326.89,Cash,Simulated expense
2025-12-20,Housing,396.89,UPI,Simulated expense
2025-12-22,Food & Dining,491.03,Bank Transfer,Simulated expense
2025-12-24,Transportation,70.61,Bank Transfer,Simulated expense
2025-12-24,Utilities,141.96,Bank Transfer,Simulated expense
2025-12-24,Shopping,55.68,Bank Transfer,Simulated expense
2025-12-24,Transportation,185.58,Bank Transfer,Simulated expense
2025-12-25,Shopping,46.22,Debit Card,Simulated expense
2025-12-25,Healthcare,477.77,Bank Transfer,Simulated expense
2025-12-26,Shopping,316.44,Credit Card,Simulated expense
2025-12-27,Transportation,487.49,UPI,Simulated expense
2025-12-27,Housing,196.38,Credit Card,Simulated expense
2025-12-28,Food & Dining,156.78,Credit Card,Simulated expense
2025-12-29,Transportation,114.6,Bank Transfer,Simulated expense
2025-12-29,Transportation,299.59,Credit Card,Simulated expense
2025-12-30,Education,178.15,Credit Card,Simulated expense
2025-12-31,Transportation,117.48,Bank Transfer,Simulated expense
2025-12-31,Housing,35.23,Credit Card,Simulated expense
2026-01-01,Food & Dining,258.32,Credit Card,Simulated expense
2026-01-01,Housing,165.75,UPI,Simulated expense
2026-01-01,Housing,484.68,Debit Card,Simulated expense
2026-01-03,Transportation,134.34,Debit Card,Simulated expense
2026-01-03,Food & Dining,139.01,Credit Card,Simulated expense
2026-01-03,Entertainment,352.38,Cash,Simulated expense
2026-01-03,Food & Dining,29.6,Cash,Simulated expense
2026-01-04,Entertainment,188.12,Bank Transfer,Simulated expense
2026-01-04,Food & Dining,429.68,Debit Card,Simulated expense
2026-01-05,Shopping,106.99,UPI,Simulated expense
2026-01-06,Transportation,43.34,Cash,Simulated expense
2026-01-07,Housing,457.33,UPI,Simulated expense
2026-01-07,Shopping,314.73,Bank Transfer,Simulated expense
2026-01-08,Food & Dining,301.14,Credit Card,Simulated expense
2026-01-08,Housing,441.66,Bank Transfer,Simulated expense
2026-01-08,Entertainment,353.33,Credit Card,Simulated expense
2026-01-08,Housing,99.76,Bank Transfer,Simulated expense
2026-01-09,Housing,9.44,Debit Card,Simulated expense
2026-01-11,Housing,39.98,UPI,Simulated expense
2026-01-11,Healthcare,10.7,Bank Transfer,Simulated expense
2026-01-11,Housing,80.92,Debit Card,Simulated expense
2026-01-13,Food & Dining,289.76,UPI,Simulated expense
2026-01-13,Housing,412.75,Bank Transfer,Simulated expense
2026-01-14,Food & Dining,354.86,Debit Card,Simulated expense
2026-01-14,Housing,337.94,UPI,Simulated expense
2026-01-15,Food & Dining,468.34,Debit Card,Simulated expense
2026-01-15,Housing,476.18,Cash,Simulated expense
2026-01-16,Food & Dining,270.55,Cash,Simulated expense
2026-01-17,Housing,120.86,Debit Card,Simulated expense
2026-01-17,Food & Dining,254.62,Cash,Simulated expense
2026-01-18,Food & Dining,88.46,Cash,Simulated expense
2026-01-19,Entertainment,139.19,Credit Card,Simulated expense
2026-01-19,Food & Dining,121.51,Bank Transfer,Simulated expense
2026-01-21,Housing,29.78,Bank Transfer,Simulated expense
2026-01-21,Entertainment,102.9,Credit Card,Simulated expense
2026-01-22,Food & Dining,85.68,Debit Card,Simulated expense
2026-01-23,Food & Dining,373.99,Debit Card,Simulated expense
2026-01-24,Housing,373.95,Cash,Simulated expense
2026-01-24,Shopping,192.23,Credit Card,Simulated expense
2026-01-25,Food & Dining,464.37,Debit Card,Simulated expense
2026-01-25,Transportation,85.46,Bank Transfer,Simulated expense
2026-01-26,Entertainment,251.6,Bank Transfer,Simulated expense
2026-01-26,Housing,344.38,Credit Card,Simulated expense
2026-01-27,Utilities,422.82,Credit Card,Simulated expense
2026-01-27,Food & Dining,36.58,Debit Card,Simulated expense
2026-01-27,Housing,52.81,Credit Card,Simulated expense
2026-01-29,Entertainment,58.08,Cash,Simulated expense
2026-01-29,Transportation,93.32,Bank Transfer,Simulated expense
2026-01-29,Shopping,311.1,Cash,Simulated expense
2026-01-30,Food & Dining,159.15,Credit Card,Simulated expense
2026-01-30,Food & Dining,425.02,Debit Card,Simulated expense
2026-01-30,Healthcare,226.31,UPI,Simulated expense
2026-01-30,Housing,231.77,UPI,Simulated expense
2026-01-31,Transportation,116.89,Debit Card,Simulated expense
2026-02-02,Shopping,104.32,Debit Card,Simulated expense
2026-02-03,Transportation,346.73,Credit Card,Simulated expense
2026-02-03,Transportation,44.17,Bank Transfer,Simulated expense
